"","x"
"312","  <("")  "
"313","  (°oo°)  "
"314","  (.)(.)  "
"315","  (.Y.)  "
"316","  (.)  "
"317","  |.|  "
"318","  ).(  "
"319","  (_i_)  "
"320","  (Y)  "
"321","  8===D  "
