"R.native","Desc","Bytestring","status","OriginalOrder"
"👩🏻‍❤️‍💋‍👩🏼","Kiss:_Woman,_Woman,_Light_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC","fully-qualified",3369
"👩🏻‍❤️‍💋‍👩🏻","Kiss:_Woman,_Woman,_Light_Skin_Tone","1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB","fully-qualified",3367
"👨🏿‍❤️‍💋‍👨🏿","Kiss:_Man,_Man,_Dark_Skin_Tone","1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3363
"👨🏿‍❤️‍💋‍👨🏾","Kiss:_Man,_Man,_Dark_Skin_Tone,_Medium-Dark_Skin_Tone","1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3361
"👨🏿‍❤️‍💋‍👨🏽","Kiss:_Man,_Man,_Dark_Skin_Tone,_Medium_Skin_Tone","1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3359
"👨🏿‍❤️‍💋‍👨🏼","Kiss:_Man,_Man,_Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3357
"👨🏿‍❤️‍💋‍👨🏻","Kiss:_Man,_Man,_Dark_Skin_Tone,_Light_Skin_Tone","1F468 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3355
"👨🏾‍❤️‍💋‍👨🏿","Kiss:_Man,_Man,_Medium-Dark_Skin_Tone,_Dark_Skin_Tone","1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3353
"👨🏾‍❤️‍💋‍👨🏾","Kiss:_Man,_Man,_Medium-Dark_Skin_Tone","1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3351
"👨🏾‍❤️‍💋‍👨🏽","Kiss:_Man,_Man,_Medium-Dark_Skin_Tone,_Medium_Skin_Tone","1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3349
"👨🏾‍❤️‍💋‍👨🏼","Kiss:_Man,_Man,_Medium-Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3347
"👨🏾‍❤️‍💋‍👨🏻","Kiss:_Man,_Man,_Medium-Dark_Skin_Tone,_Light_Skin_Tone","1F468 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3345
"👨🏽‍❤️‍💋‍👨🏿","Kiss:_Man,_Man,_Medium_Skin_Tone,_Dark_Skin_Tone","1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3343
"👨🏽‍❤️‍💋‍👨🏾","Kiss:_Man,_Man,_Medium_Skin_Tone,_Medium-Dark_Skin_Tone","1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3341
"👨🏽‍❤️‍💋‍👨🏽","Kiss:_Man,_Man,_Medium_Skin_Tone","1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3339
"👨🏽‍❤️‍💋‍👨🏼","Kiss:_Man,_Man,_Medium_Skin_Tone,_Medium-Light_Skin_Tone","1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3337
"👨🏽‍❤️‍💋‍👨🏻","Kiss:_Man,_Man,_Medium_Skin_Tone,_Light_Skin_Tone","1F468 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3335
"👨🏼‍❤️‍💋‍👨🏿","Kiss:_Man,_Man,_Medium-Light_Skin_Tone,_Dark_Skin_Tone","1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3333
"👨🏼‍❤️‍💋‍👨🏾","Kiss:_Man,_Man,_Medium-Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3331
