"R.native","Desc","Bytestring","status","OriginalOrder"
"👨🏾‍🐰‍👨🏽","Men_With_Bunny_Ears:_Medium-Dark_Skin_Tone,_Medium_Skin_Tone","1F468 1F3FE 200D 1F430 200D 1F468 1F3FD","fully-qualified",2503
"👨🏾‍🐰‍👨🏼","Men_With_Bunny_Ears:_Medium-Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F468 1F3FE 200D 1F430 200D 1F468 1F3FC","fully-qualified",2502
"👨🏾‍🐰‍👨🏻","Men_With_Bunny_Ears:_Medium-Dark_Skin_Tone,_Light_Skin_Tone","1F468 1F3FE 200D 1F430 200D 1F468 1F3FB","fully-qualified",2501
"👨🏽‍🐰‍👨🏿","Men_With_Bunny_Ears:_Medium_Skin_Tone,_Dark_Skin_Tone","1F468 1F3FD 200D 1F430 200D 1F468 1F3FF","fully-qualified",2500
"👨🏽‍🐰‍👨🏾","Men_With_Bunny_Ears:_Medium_Skin_Tone,_Medium-Dark_Skin_Tone","1F468 1F3FD 200D 1F430 200D 1F468 1F3FE","fully-qualified",2499
"👨🏽‍🐰‍👨🏼","Men_With_Bunny_Ears:_Medium_Skin_Tone,_Medium-Light_Skin_Tone","1F468 1F3FD 200D 1F430 200D 1F468 1F3FC","fully-qualified",2498
"👨🏽‍🐰‍👨🏻","Men_With_Bunny_Ears:_Medium_Skin_Tone,_Light_Skin_Tone","1F468 1F3FD 200D 1F430 200D 1F468 1F3FB","fully-qualified",2497
"👨🏼‍🐰‍👨🏿","Men_With_Bunny_Ears:_Medium-Light_Skin_Tone,_Dark_Skin_Tone","1F468 1F3FC 200D 1F430 200D 1F468 1F3FF","fully-qualified",2496
"👨🏼‍🐰‍👨🏾","Men_With_Bunny_Ears:_Medium-Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F468 1F3FC 200D 1F430 200D 1F468 1F3FE","fully-qualified",2495
"👨🏼‍🐰‍👨🏽","Men_With_Bunny_Ears:_Medium-Light_Skin_Tone,_Medium_Skin_Tone","1F468 1F3FC 200D 1F430 200D 1F468 1F3FD","fully-qualified",2494
"👨🏼‍🐰‍👨🏻","Men_With_Bunny_Ears:_Medium-Light_Skin_Tone,_Light_Skin_Tone","1F468 1F3FC 200D 1F430 200D 1F468 1F3FB","fully-qualified",2493
"👨🏻‍🐰‍👨🏿","Men_With_Bunny_Ears:_Light_Skin_Tone,_Dark_Skin_Tone","1F468 1F3FB 200D 1F430 200D 1F468 1F3FF","fully-qualified",2492
"👨🏻‍🐰‍👨🏾","Men_With_Bunny_Ears:_Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F468 1F3FB 200D 1F430 200D 1F468 1F3FE","fully-qualified",2491
"👨🏻‍🐰‍👨🏽","Men_With_Bunny_Ears:_Light_Skin_Tone,_Medium_Skin_Tone","1F468 1F3FB 200D 1F430 200D 1F468 1F3FD","fully-qualified",2490
"👨🏻‍🐰‍👨🏼","Men_With_Bunny_Ears:_Light_Skin_Tone,_Medium-Light_Skin_Tone","1F468 1F3FB 200D 1F430 200D 1F468 1F3FC","fully-qualified",2489
"🧑🏿‍🐰‍🧑🏾","People_With_Bunny_Ears:_Dark_Skin_Tone,_Medium-Dark_Skin_Tone","1F9D1 1F3FF 200D 1F430 200D 1F9D1 1F3FE","fully-qualified",2488
"🧑🏿‍🐰‍🧑🏽","People_With_Bunny_Ears:_Dark_Skin_Tone,_Medium_Skin_Tone","1F9D1 1F3FF 200D 1F430 200D 1F9D1 1F3FD","fully-qualified",2487
"🧑🏿‍🐰‍🧑🏼","People_With_Bunny_Ears:_Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F9D1 1F3FF 200D 1F430 200D 1F9D1 1F3FC","fully-qualified",2486
"🧑🏿‍🐰‍🧑🏻","People_With_Bunny_Ears:_Dark_Skin_Tone,_Light_Skin_Tone","1F9D1 1F3FF 200D 1F430 200D 1F9D1 1F3FB","fully-qualified",2485
"🧑🏾‍🐰‍🧑🏿","People_With_Bunny_Ears:_Medium-Dark_Skin_Tone,_Dark_Skin_Tone","1F9D1 1F3FE 200D 1F430 200D 1F9D1 1F3FF","fully-qualified",2484
"🧑🏾‍🐰‍🧑🏽","People_With_Bunny_Ears:_Medium-Dark_Skin_Tone,_Medium_Skin_Tone","1F9D1 1F3FE 200D 1F430 200D 1F9D1 1F3FD","fully-qualified",2483
"🧑🏾‍🐰‍🧑🏼","People_With_Bunny_Ears:_Medium-Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F9D1 1F3FE 200D 1F430 200D 1F9D1 1F3FC","fully-qualified",2482
"🧑🏾‍🐰‍🧑🏻","People_With_Bunny_Ears:_Medium-Dark_Skin_Tone,_Light_Skin_Tone","1F9D1 1F3FE 200D 1F430 200D 1F9D1 1F3FB","fully-qualified",2481
"🧑🏽‍🐰‍🧑🏿","People_With_Bunny_Ears:_Medium_Skin_Tone,_Dark_Skin_Tone","1F9D1 1F3FD 200D 1F430 200D 1F9D1 1F3FF","fully-qualified",2480
"🧑🏽‍🐰‍🧑🏾","People_With_Bunny_Ears:_Medium_Skin_Tone,_Medium-Dark_Skin_Tone","1F9D1 1F3FD 200D 1F430 200D 1F9D1 1F3FE","fully-qualified",2479
"🧑🏽‍🐰‍🧑🏼","People_With_Bunny_Ears:_Medium_Skin_Tone,_Medium-Light_Skin_Tone","1F9D1 1F3FD 200D 1F430 200D 1F9D1 1F3FC","fully-qualified",2478
"🧑🏽‍🐰‍🧑🏻","People_With_Bunny_Ears:_Medium_Skin_Tone,_Light_Skin_Tone","1F9D1 1F3FD 200D 1F430 200D 1F9D1 1F3FB","fully-qualified",2477
"🧑🏼‍🐰‍🧑🏿","People_With_Bunny_Ears:_Medium-Light_Skin_Tone,_Dark_Skin_Tone","1F9D1 1F3FC 200D 1F430 200D 1F9D1 1F3FF","fully-qualified",2476
"🧑🏼‍🐰‍🧑🏾","People_With_Bunny_Ears:_Medium-Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F9D1 1F3FC 200D 1F430 200D 1F9D1 1F3FE","fully-qualified",2475
"🧑🏼‍🐰‍🧑🏽","People_With_Bunny_Ears:_Medium-Light_Skin_Tone,_Medium_Skin_Tone","1F9D1 1F3FC 200D 1F430 200D 1F9D1 1F3FD","fully-qualified",2474
"🧑🏼‍🐰‍🧑🏻","People_With_Bunny_Ears:_Medium-Light_Skin_Tone,_Light_Skin_Tone","1F9D1 1F3FC 200D 1F430 200D 1F9D1 1F3FB","fully-qualified",2473
"🧑🏻‍🐰‍🧑🏿","People_With_Bunny_Ears:_Light_Skin_Tone,_Dark_Skin_Tone","1F9D1 1F3FB 200D 1F430 200D 1F9D1 1F3FF","fully-qualified",2472
"🧑🏻‍🐰‍🧑🏾","People_With_Bunny_Ears:_Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F9D1 1F3FB 200D 1F430 200D 1F9D1 1F3FE","fully-qualified",2471
"🧑🏻‍🐰‍🧑🏽","People_With_Bunny_Ears:_Light_Skin_Tone,_Medium_Skin_Tone","1F9D1 1F3FB 200D 1F430 200D 1F9D1 1F3FD","fully-qualified",2470
"🧑🏻‍🐰‍🧑🏼","People_With_Bunny_Ears:_Light_Skin_Tone,_Medium-Light_Skin_Tone","1F9D1 1F3FB 200D 1F430 200D 1F9D1 1F3FC","fully-qualified",2469
"🏃🏿‍♂️‍➡","Man_Running_Facing_Right:_Dark_Skin_Tone","1F3C3 1F3FF 200D 2642 FE0F 200D 27A1","minimally-qualified",2412
"🏃🏿‍♂‍➡️","Man_Running_Facing_Right:_Dark_Skin_Tone","1F3C3 1F3FF 200D 2642 200D 27A1 FE0F","minimally-qualified",2411
"🏃🏾‍♂️‍➡","Man_Running_Facing_Right:_Medium-Dark_Skin_Tone","1F3C3 1F3FE 200D 2642 FE0F 200D 27A1","minimally-qualified",2408
"🏃🏾‍♂‍➡️","Man_Running_Facing_Right:_Medium-Dark_Skin_Tone","1F3C3 1F3FE 200D 2642 200D 27A1 FE0F","minimally-qualified",2407
"🏃🏽‍♂️‍➡","Man_Running_Facing_Right:_Medium_Skin_Tone","1F3C3 1F3FD 200D 2642 FE0F 200D 27A1","minimally-qualified",2404
"🏃🏽‍♂‍➡️","Man_Running_Facing_Right:_Medium_Skin_Tone","1F3C3 1F3FD 200D 2642 200D 27A1 FE0F","minimally-qualified",2403
"🏃🏼‍♂️‍➡","Man_Running_Facing_Right:_Medium-Light_Skin_Tone","1F3C3 1F3FC 200D 2642 FE0F 200D 27A1","minimally-qualified",2400
"🏃🏼‍♂‍➡️","Man_Running_Facing_Right:_Medium-Light_Skin_Tone","1F3C3 1F3FC 200D 2642 200D 27A1 FE0F","minimally-qualified",2399
"🏃🏻‍♂️‍➡","Man_Running_Facing_Right:_Light_Skin_Tone","1F3C3 1F3FB 200D 2642 FE0F 200D 27A1","minimally-qualified",2396
"🏃🏻‍♂‍➡️","Man_Running_Facing_Right:_Light_Skin_Tone","1F3C3 1F3FB 200D 2642 200D 27A1 FE0F","minimally-qualified",2395
"🏃‍♂️‍➡️","Man_Running_Facing_Right","1F3C3 200D 2642 FE0F 200D 27A1 FE0F","fully-qualified",2390
"🏃🏿‍♀️‍➡","Woman_Running_Facing_Right:_Dark_Skin_Tone","1F3C3 1F3FF 200D 2640 FE0F 200D 27A1","minimally-qualified",2388
"🏃🏿‍♀‍➡️","Woman_Running_Facing_Right:_Dark_Skin_Tone","1F3C3 1F3FF 200D 2640 200D 27A1 FE0F","minimally-qualified",2387
"🏃🏾‍♀️‍➡","Woman_Running_Facing_Right:_Medium-Dark_Skin_Tone","1F3C3 1F3FE 200D 2640 FE0F 200D 27A1","minimally-qualified",2384
"🏃🏾‍♀‍➡️","Woman_Running_Facing_Right:_Medium-Dark_Skin_Tone","1F3C3 1F3FE 200D 2640 200D 27A1 FE0F","minimally-qualified",2383
"🏃🏽‍♀️‍➡","Woman_Running_Facing_Right:_Medium_Skin_Tone","1F3C3 1F3FD 200D 2640 FE0F 200D 27A1","minimally-qualified",2380
"🏃🏽‍♀‍➡️","Woman_Running_Facing_Right:_Medium_Skin_Tone","1F3C3 1F3FD 200D 2640 200D 27A1 FE0F","minimally-qualified",2379
"🏃🏼‍♀️‍➡","Woman_Running_Facing_Right:_Medium-Light_Skin_Tone","1F3C3 1F3FC 200D 2640 FE0F 200D 27A1","minimally-qualified",2376
"🏃🏼‍♀‍➡️","Woman_Running_Facing_Right:_Medium-Light_Skin_Tone","1F3C3 1F3FC 200D 2640 200D 27A1 FE0F","minimally-qualified",2375
"🏃🏻‍♀️‍➡","Woman_Running_Facing_Right:_Light_Skin_Tone","1F3C3 1F3FB 200D 2640 FE0F 200D 27A1","minimally-qualified",2372
"🏃🏻‍♀‍➡️","Woman_Running_Facing_Right:_Light_Skin_Tone","1F3C3 1F3FB 200D 2640 200D 27A1 FE0F","minimally-qualified",2371
"🏃‍♀️‍➡️","Woman_Running_Facing_Right","1F3C3 200D 2640 FE0F 200D 27A1 FE0F","fully-qualified",2366
"👩🏿‍🦽‍➡️","Woman_In_Manual_Wheelchair_Facing_Right:_Dark_Skin_Tone","1F469 1F3FF 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2322
"👩🏾‍🦽‍➡️","Woman_In_Manual_Wheelchair_Facing_Right:_Medium-Dark_Skin_Tone","1F469 1F3FE 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2320
"👩🏽‍🦽‍➡️","Woman_In_Manual_Wheelchair_Facing_Right:_Medium_Skin_Tone","1F469 1F3FD 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2318
"👩🏼‍🦽‍➡️","Woman_In_Manual_Wheelchair_Facing_Right:_Medium-Light_Skin_Tone","1F469 1F3FC 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2316
"👩🏻‍🦽‍➡️","Woman_In_Manual_Wheelchair_Facing_Right:_Light_Skin_Tone","1F469 1F3FB 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2314
"👨🏿‍🦽‍➡️","Man_In_Manual_Wheelchair_Facing_Right:_Dark_Skin_Tone","1F468 1F3FF 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2304
"👨🏾‍🦽‍➡️","Man_In_Manual_Wheelchair_Facing_Right:_Medium-Dark_Skin_Tone","1F468 1F3FE 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2302
"👨🏽‍🦽‍➡️","Man_In_Manual_Wheelchair_Facing_Right:_Medium_Skin_Tone","1F468 1F3FD 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2300
"👨🏼‍🦽‍➡️","Man_In_Manual_Wheelchair_Facing_Right:_Medium-Light_Skin_Tone","1F468 1F3FC 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2298
"👨🏻‍🦽‍➡️","Man_In_Manual_Wheelchair_Facing_Right:_Light_Skin_Tone","1F468 1F3FB 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2296
"🧑🏿‍🦽‍➡️","Person_In_Manual_Wheelchair_Facing_Right:_Dark_Skin_Tone","1F9D1 1F3FF 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2286
"🧑🏾‍🦽‍➡️","Person_In_Manual_Wheelchair_Facing_Right:_Medium-Dark_Skin_Tone","1F9D1 1F3FE 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2284
"🧑🏽‍🦽‍➡️","Person_In_Manual_Wheelchair_Facing_Right:_Medium_Skin_Tone","1F9D1 1F3FD 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2282
"🧑🏼‍🦽‍➡️","Person_In_Manual_Wheelchair_Facing_Right:_Medium-Light_Skin_Tone","1F9D1 1F3FC 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2280
"🧑🏻‍🦽‍➡️","Person_In_Manual_Wheelchair_Facing_Right:_Light_Skin_Tone","1F9D1 1F3FB 200D 1F9BD 200D 27A1 FE0F","fully-qualified",2278
"👩🏿‍🦼‍➡️","Woman_In_Motorized_Wheelchair_Facing_Right:_Dark_Skin_Tone","1F469 1F3FF 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2268
"👩🏾‍🦼‍➡️","Woman_In_Motorized_Wheelchair_Facing_Right:_Medium-Dark_Skin_Tone","1F469 1F3FE 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2266
"👩🏽‍🦼‍➡️","Woman_In_Motorized_Wheelchair_Facing_Right:_Medium_Skin_Tone","1F469 1F3FD 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2264
"👩🏼‍🦼‍➡️","Woman_In_Motorized_Wheelchair_Facing_Right:_Medium-Light_Skin_Tone","1F469 1F3FC 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2262
"👩🏻‍🦼‍➡️","Woman_In_Motorized_Wheelchair_Facing_Right:_Light_Skin_Tone","1F469 1F3FB 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2260
"👨🏿‍🦼‍➡️","Man_In_Motorized_Wheelchair_Facing_Right:_Dark_Skin_Tone","1F468 1F3FF 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2250
"👨🏾‍🦼‍➡️","Man_In_Motorized_Wheelchair_Facing_Right:_Medium-Dark_Skin_Tone","1F468 1F3FE 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2248
"👨🏽‍🦼‍➡️","Man_In_Motorized_Wheelchair_Facing_Right:_Medium_Skin_Tone","1F468 1F3FD 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2246
"👨🏼‍🦼‍➡️","Man_In_Motorized_Wheelchair_Facing_Right:_Medium-Light_Skin_Tone","1F468 1F3FC 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2244
"👨🏻‍🦼‍➡️","Man_In_Motorized_Wheelchair_Facing_Right:_Light_Skin_Tone","1F468 1F3FB 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2242
"🧑🏿‍🦼‍➡️","Person_In_Motorized_Wheelchair_Facing_Right:_Dark_Skin_Tone","1F9D1 1F3FF 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2232
"🧑🏾‍🦼‍➡️","Person_In_Motorized_Wheelchair_Facing_Right:_Medium-Dark_Skin_Tone","1F9D1 1F3FE 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2230
"🧑🏽‍🦼‍➡️","Person_In_Motorized_Wheelchair_Facing_Right:_Medium_Skin_Tone","1F9D1 1F3FD 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2228
"🧑🏼‍🦼‍➡️","Person_In_Motorized_Wheelchair_Facing_Right:_Medium-Light_Skin_Tone","1F9D1 1F3FC 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2226
"🧑🏻‍🦼‍➡️","Person_In_Motorized_Wheelchair_Facing_Right:_Light_Skin_Tone","1F9D1 1F3FB 200D 1F9BC 200D 27A1 FE0F","fully-qualified",2224
"👩🏿‍🦯‍➡️","Woman_With_White_Cane_Facing_Right:_Dark_Skin_Tone","1F469 1F3FF 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2214
"👩🏾‍🦯‍➡️","Woman_With_White_Cane_Facing_Right:_Medium-Dark_Skin_Tone","1F469 1F3FE 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2212
"👩🏽‍🦯‍➡️","Woman_With_White_Cane_Facing_Right:_Medium_Skin_Tone","1F469 1F3FD 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2210
"👩🏼‍🦯‍➡️","Woman_With_White_Cane_Facing_Right:_Medium-Light_Skin_Tone","1F469 1F3FC 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2208
"👩🏻‍🦯‍➡️","Woman_With_White_Cane_Facing_Right:_Light_Skin_Tone","1F469 1F3FB 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2206
"👨🏿‍🦯‍➡️","Man_With_White_Cane_Facing_Right:_Dark_Skin_Tone","1F468 1F3FF 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2196
"👨🏾‍🦯‍➡️","Man_With_White_Cane_Facing_Right:_Medium-Dark_Skin_Tone","1F468 1F3FE 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2194
"👨🏽‍🦯‍➡️","Man_With_White_Cane_Facing_Right:_Medium_Skin_Tone","1F468 1F3FD 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2192
"👨🏼‍🦯‍➡️","Man_With_White_Cane_Facing_Right:_Medium-Light_Skin_Tone","1F468 1F3FC 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2190
"👨🏻‍🦯‍➡️","Man_With_White_Cane_Facing_Right:_Light_Skin_Tone","1F468 1F3FB 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2188
"🧑🏿‍🦯‍➡️","Person_With_White_Cane_Facing_Right:_Dark_Skin_Tone","1F9D1 1F3FF 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2178
"🧑🏾‍🦯‍➡️","Person_With_White_Cane_Facing_Right:_Medium-Dark_Skin_Tone","1F9D1 1F3FE 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2176
"🧑🏽‍🦯‍➡️","Person_With_White_Cane_Facing_Right:_Medium_Skin_Tone","1F9D1 1F3FD 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2174
"🧑🏼‍🦯‍➡️","Person_With_White_Cane_Facing_Right:_Medium-Light_Skin_Tone","1F9D1 1F3FC 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2172
"🧑🏻‍🦯‍➡️","Person_With_White_Cane_Facing_Right:_Light_Skin_Tone","1F9D1 1F3FB 200D 1F9AF 200D 27A1 FE0F","fully-qualified",2170
"🧎🏿‍♂️‍➡","Man_Kneeling_Facing_Right:_Dark_Skin_Tone","1F9CE 1F3FF 200D 2642 FE0F 200D 27A1","minimally-qualified",2160
"🧎🏿‍♂‍➡️","Man_Kneeling_Facing_Right:_Dark_Skin_Tone","1F9CE 1F3FF 200D 2642 200D 27A1 FE0F","minimally-qualified",2159
"🧎🏾‍♂️‍➡","Man_Kneeling_Facing_Right:_Medium-Dark_Skin_Tone","1F9CE 1F3FE 200D 2642 FE0F 200D 27A1","minimally-qualified",2156
"🧎🏾‍♂‍➡️","Man_Kneeling_Facing_Right:_Medium-Dark_Skin_Tone","1F9CE 1F3FE 200D 2642 200D 27A1 FE0F","minimally-qualified",2155
"🧎🏽‍♂️‍➡","Man_Kneeling_Facing_Right:_Medium_Skin_Tone","1F9CE 1F3FD 200D 2642 FE0F 200D 27A1","minimally-qualified",2152
"🧎🏽‍♂‍➡️","Man_Kneeling_Facing_Right:_Medium_Skin_Tone","1F9CE 1F3FD 200D 2642 200D 27A1 FE0F","minimally-qualified",2151
"🧎🏼‍♂️‍➡","Man_Kneeling_Facing_Right:_Medium-Light_Skin_Tone","1F9CE 1F3FC 200D 2642 FE0F 200D 27A1","minimally-qualified",2148
"🧎🏼‍♂‍➡️","Man_Kneeling_Facing_Right:_Medium-Light_Skin_Tone","1F9CE 1F3FC 200D 2642 200D 27A1 FE0F","minimally-qualified",2147
"🧎🏻‍♂️‍➡","Man_Kneeling_Facing_Right:_Light_Skin_Tone","1F9CE 1F3FB 200D 2642 FE0F 200D 27A1","minimally-qualified",2144
"🧎🏻‍♂‍➡️","Man_Kneeling_Facing_Right:_Light_Skin_Tone","1F9CE 1F3FB 200D 2642 200D 27A1 FE0F","minimally-qualified",2143
"🧎‍♂️‍➡️","Man_Kneeling_Facing_Right","1F9CE 200D 2642 FE0F 200D 27A1 FE0F","fully-qualified",2138
"🧎🏿‍♀️‍➡","Woman_Kneeling_Facing_Right:_Dark_Skin_Tone","1F9CE 1F3FF 200D 2640 FE0F 200D 27A1","minimally-qualified",2136
"🧎🏿‍♀‍➡️","Woman_Kneeling_Facing_Right:_Dark_Skin_Tone","1F9CE 1F3FF 200D 2640 200D 27A1 FE0F","minimally-qualified",2135
"🧎🏾‍♀️‍➡","Woman_Kneeling_Facing_Right:_Medium-Dark_Skin_Tone","1F9CE 1F3FE 200D 2640 FE0F 200D 27A1","minimally-qualified",2132
"🧎🏾‍♀‍➡️","Woman_Kneeling_Facing_Right:_Medium-Dark_Skin_Tone","1F9CE 1F3FE 200D 2640 200D 27A1 FE0F","minimally-qualified",2131
"🧎🏽‍♀️‍➡","Woman_Kneeling_Facing_Right:_Medium_Skin_Tone","1F9CE 1F3FD 200D 2640 FE0F 200D 27A1","minimally-qualified",2128
"🧎🏽‍♀‍➡️","Woman_Kneeling_Facing_Right:_Medium_Skin_Tone","1F9CE 1F3FD 200D 2640 200D 27A1 FE0F","minimally-qualified",2127
"🧎🏼‍♀️‍➡","Woman_Kneeling_Facing_Right:_Medium-Light_Skin_Tone","1F9CE 1F3FC 200D 2640 FE0F 200D 27A1","minimally-qualified",2124
"🧎🏼‍♀‍➡️","Woman_Kneeling_Facing_Right:_Medium-Light_Skin_Tone","1F9CE 1F3FC 200D 2640 200D 27A1 FE0F","minimally-qualified",2123
"🧎🏻‍♀️‍➡","Woman_Kneeling_Facing_Right:_Light_Skin_Tone","1F9CE 1F3FB 200D 2640 FE0F 200D 27A1","minimally-qualified",2120
"🧎🏻‍♀‍➡️","Woman_Kneeling_Facing_Right:_Light_Skin_Tone","1F9CE 1F3FB 200D 2640 200D 27A1 FE0F","minimally-qualified",2119
"🧎‍♀️‍➡️","Woman_Kneeling_Facing_Right","1F9CE 200D 2640 FE0F 200D 27A1 FE0F","fully-qualified",2114
"🚶🏿‍♂️‍➡","Man_Walking_Facing_Right:_Dark_Skin_Tone","1F6B6 1F3FF 200D 2642 FE0F 200D 27A1","minimally-qualified",2040
"🚶🏿‍♂‍➡️","Man_Walking_Facing_Right:_Dark_Skin_Tone","1F6B6 1F3FF 200D 2642 200D 27A1 FE0F","minimally-qualified",2039
"🚶🏾‍♂️‍➡","Man_Walking_Facing_Right:_Medium-Dark_Skin_Tone","1F6B6 1F3FE 200D 2642 FE0F 200D 27A1","minimally-qualified",2036
"🚶🏾‍♂‍➡️","Man_Walking_Facing_Right:_Medium-Dark_Skin_Tone","1F6B6 1F3FE 200D 2642 200D 27A1 FE0F","minimally-qualified",2035
"🚶🏽‍♂️‍➡","Man_Walking_Facing_Right:_Medium_Skin_Tone","1F6B6 1F3FD 200D 2642 FE0F 200D 27A1","minimally-qualified",2032
"🚶🏽‍♂‍➡️","Man_Walking_Facing_Right:_Medium_Skin_Tone","1F6B6 1F3FD 200D 2642 200D 27A1 FE0F","minimally-qualified",2031
"🚶🏼‍♂️‍➡","Man_Walking_Facing_Right:_Medium-Light_Skin_Tone","1F6B6 1F3FC 200D 2642 FE0F 200D 27A1","minimally-qualified",2028
"🚶🏼‍♂‍➡️","Man_Walking_Facing_Right:_Medium-Light_Skin_Tone","1F6B6 1F3FC 200D 2642 200D 27A1 FE0F","minimally-qualified",2027
"🚶🏻‍♂️‍➡","Man_Walking_Facing_Right:_Light_Skin_Tone","1F6B6 1F3FB 200D 2642 FE0F 200D 27A1","minimally-qualified",2024
"🚶🏻‍♂‍➡️","Man_Walking_Facing_Right:_Light_Skin_Tone","1F6B6 1F3FB 200D 2642 200D 27A1 FE0F","minimally-qualified",2023
"🚶‍♂️‍➡️","Man_Walking_Facing_Right","1F6B6 200D 2642 FE0F 200D 27A1 FE0F","fully-qualified",2018
"🚶🏿‍♀️‍➡","Woman_Walking_Facing_Right:_Dark_Skin_Tone","1F6B6 1F3FF 200D 2640 FE0F 200D 27A1","minimally-qualified",2016
"🚶🏿‍♀‍➡️","Woman_Walking_Facing_Right:_Dark_Skin_Tone","1F6B6 1F3FF 200D 2640 200D 27A1 FE0F","minimally-qualified",2015
"🚶🏾‍♀️‍➡","Woman_Walking_Facing_Right:_Medium-Dark_Skin_Tone","1F6B6 1F3FE 200D 2640 FE0F 200D 27A1","minimally-qualified",2012
"🚶🏾‍♀‍➡️","Woman_Walking_Facing_Right:_Medium-Dark_Skin_Tone","1F6B6 1F3FE 200D 2640 200D 27A1 FE0F","minimally-qualified",2011
"🚶🏽‍♀️‍➡","Woman_Walking_Facing_Right:_Medium_Skin_Tone","1F6B6 1F3FD 200D 2640 FE0F 200D 27A1","minimally-qualified",2008
"🚶🏽‍♀‍➡️","Woman_Walking_Facing_Right:_Medium_Skin_Tone","1F6B6 1F3FD 200D 2640 200D 27A1 FE0F","minimally-qualified",2007
"🚶🏼‍♀️‍➡","Woman_Walking_Facing_Right:_Medium-Light_Skin_Tone","1F6B6 1F3FC 200D 2640 FE0F 200D 27A1","minimally-qualified",2004
"🚶🏼‍♀‍➡️","Woman_Walking_Facing_Right:_Medium-Light_Skin_Tone","1F6B6 1F3FC 200D 2640 200D 27A1 FE0F","minimally-qualified",2003
"🚶🏻‍♀️‍➡","Woman_Walking_Facing_Right:_Light_Skin_Tone","1F6B6 1F3FB 200D 2640 FE0F 200D 27A1","minimally-qualified",2000
"🚶🏻‍♀‍➡️","Woman_Walking_Facing_Right:_Light_Skin_Tone","1F6B6 1F3FB 200D 2640 200D 27A1 FE0F","minimally-qualified",1999
"🚶‍♀️‍➡️","Woman_Walking_Facing_Right","1F6B6 200D 2640 FE0F 200D 27A1 FE0F","fully-qualified",1994
"🏴󠁵󠁳󠁴󠁸󠁿","Flag_for_Texas_(US-TX)","1F3F4 E0075 E0073 E0074 E0078 E007F","WhatsApp only",NA
"👩‍❤️‍👩","Couple_With_Heart:_Woman,_Woman","1F469 200D 2764 FE0F 200D 1F469","fully-qualified",3567
"👨‍❤️‍👨","Couple_With_Heart:_Man,_Man","1F468 200D 2764 FE0F 200D 1F468","fully-qualified",3515
"👩‍❤️‍👨","Couple_With_Heart:_Woman,_Man","1F469 200D 2764 FE0F 200D 1F468","fully-qualified",3463
"🏃🏿‍♂‍➡","Man_Running_Facing_Right:_Dark_Skin_Tone","1F3C3 1F3FF 200D 2642 200D 27A1","minimally-qualified",2413
